image,anomaly_score
test_0000.png,0.60762656
test_0001.png,0.53008050
test_0002.png,0.38712880
test_0003.png,0.48939371
test_0004.png,0.52511382
test_0005.png,0.38070294
test_0006.png,0.40263185
test_0007.png,0.50162089
test_0008.png,0.62497133
test_0009.png,0.45647630
test_0010.png,0.47342560
test_0011.png,0.48699623
test_0012.png,0.47916374
test_0013.png,0.47304174
test_0014.png,0.44904420
test_0015.png,0.51023692
test_0016.png,0.49886972
test_0017.png,0.35892162
test_0018.png,0.47866422
test_0019.png,0.61158425
test_0020.png,0.54154360
test_0021.png,0.57851762
test_0022.png,0.60572004
test_0023.png,0.39429340
test_0024.png,0.51254278
test_0025.png,0.60136664
test_0026.png,0.51790220
test_0027.png,0.38746911
test_0028.png,0.58934689
test_0029.png,0.53546625
test_0030.png,0.55223483
test_0031.png,0.61656761
test_0032.png,0.50892603
test_0033.png,0.49193612
test_0034.png,0.60348904
test_0035.png,0.48177701
test_0036.png,0.29079238
test_0037.png,0.31317136
test_0038.png,0.31462064
test_0039.png,0.32303473
test_0040.png,0.32777843
test_0041.png,0.34361082
test_0042.png,0.37779322
test_0043.png,0.34000564
test_0044.png,0.33202288
test_0045.png,0.36412311
test_0046.png,0.31596524
test_0047.png,0.29722330
test_0048.png,0.36380655
test_0049.png,0.30733788
test_0050.png,0.34831893
test_0051.png,0.34304139
test_0052.png,0.31807190
test_0053.png,0.30074176
test_0054.png,0.29338336
test_0055.png,0.34840104
test_0056.png,0.30306801
test_0057.png,0.31443262
test_0058.png,0.37767997
test_0059.png,0.30642167
test_0060.png,0.29855183
test_0061.png,0.31618437
test_0062.png,0.35438934
test_0063.png,0.31254673
test_0064.png,0.52751672
test_0065.png,0.35815114
test_0066.png,0.50810605
test_0067.png,0.57531899
test_0068.png,0.55878299
test_0069.png,0.52906525
test_0070.png,0.58150512
test_0071.png,0.64022911
test_0072.png,0.65150565
test_0073.png,0.56308657
test_0074.png,0.58234292
test_0075.png,0.53903151
test_0076.png,0.51901239
test_0077.png,0.53929853
test_0078.png,0.58987373
test_0079.png,0.53522301
test_0080.png,0.43401715
test_0081.png,0.31103766
test_0082.png,0.35314795
test_0083.png,0.50757706
test_0084.png,0.54341805
test_0085.png,0.58186477
test_0086.png,0.61937076
test_0087.png,0.62519741
test_0088.png,0.57162994
test_0089.png,0.60248977
test_0090.png,0.49297896
test_0091.png,0.56890482
test_0092.png,0.46862918
test_0093.png,0.52563602
test_0094.png,0.50536436
test_0095.png,0.36751604
test_0096.png,0.50046510
test_0097.png,0.53703386
test_0098.png,0.58142805
test_0099.png,0.38451433
test_0100.png,0.56076163
test_0101.png,0.48871684
test_0102.png,0.53050292
test_0103.png,0.58011192
test_0104.png,0.51982802
test_0105.png,0.54889816
test_0106.png,0.63855600
test_0107.png,0.34579572
test_0108.png,0.56820768
test_0109.png,0.51365906
test_0110.png,0.58069539
test_0111.png,0.55559880
test_0112.png,0.36101910
test_0113.png,0.35185811
test_0114.png,0.50489420
test_0115.png,0.55735981
test_0116.png,0.32152745
