filename,anomaly_score
test_0000.png,49.2287092509
test_0001.png,44.7136005934
test_0002.png,52.0871012787
test_0003.png,55.7040795245
test_0004.png,49.4247073560
test_0005.png,44.2397140542
test_0006.png,46.1104367193
test_0007.png,45.4858438323
test_0008.png,49.6090426070
test_0009.png,41.2290963134
test_0010.png,48.1044178826
test_0011.png,37.8027509145
test_0012.png,48.5178880749
test_0013.png,49.2361679525
test_0014.png,42.9548663629
test_0015.png,48.7265029538
test_0016.png,46.9276609363
test_0017.png,52.7072223977
test_0018.png,49.9370053455
test_0019.png,46.8479072148
test_0020.png,19.9081277982
test_0021.png,37.8734920382
test_0022.png,44.9073671310
test_0023.png,44.2412550013
test_0024.png,52.7339191974
test_0025.png,25.6775047650
test_0026.png,47.6689945904
test_0027.png,29.7096538562
test_0028.png,31.3604397821
test_0029.png,38.6956585084
test_0030.png,47.6005540963
test_0031.png,36.1824343029
test_0032.png,48.9038068246
test_0033.png,42.7631975852
test_0034.png,30.1119359960
test_0035.png,32.4675908122
test_0036.png,40.1492075286
test_0037.png,43.8988971412
test_0038.png,54.1279367283
test_0039.png,42.7089104955
test_0040.png,51.2848764761
test_0041.png,41.9436770549
test_0042.png,43.1714104287
test_0043.png,30.0924777627
test_0044.png,30.0749101031
test_0045.png,17.7143479586
test_0046.png,19.5725747085
test_0047.png,62.0607234971
test_0048.png,49.6621599582
test_0049.png,68.6108404935
test_0050.png,43.7884453373
test_0051.png,46.7138966181
test_0052.png,50.4074344656
test_0053.png,32.8285954264
test_0054.png,21.8009244218
test_0055.png,65.9910492245
test_0056.png,46.6297876709
test_0057.png,59.6117572151
test_0058.png,27.5273102609
test_0059.png,61.5305772834
test_0060.png,61.3786321350
test_0061.png,17.5577432799
test_0062.png,29.3850622092
test_0063.png,2.2258316461
test_0064.png,7.6473484497
test_0065.png,3.1705249885
test_0066.png,0.6250115756
test_0067.png,1.4384627385
test_0068.png,-0.6116275657
test_0069.png,4.0099688418
test_0070.png,1.7991565735
test_0071.png,0.9991050675
test_0072.png,3.6966882641
test_0073.png,3.3008202625
test_0074.png,1.0833025005
test_0075.png,2.6189932785
test_0076.png,-0.1682804820
test_0077.png,0.8265049699
test_0078.png,4.6483158682
test_0079.png,3.6753491690
test_0080.png,3.1760186589
test_0081.png,4.9505195401
test_0082.png,4.1676860671
