image,anomaly_score,raw_score
test_0000.png,0.9024363595,0.5695449710
test_0001.png,0.8841808624,0.5617462397
test_0002.png,0.9469160042,0.5885466337
test_0003.png,1.0000000000,0.6137437820
test_0004.png,0.8987107820,0.5679534078
test_0005.png,0.8125036091,0.5311257839
test_0006.png,0.9260477753,0.5796317458
test_0007.png,0.8800272244,0.5599718094
test_0008.png,0.9189885441,0.5766160488
test_0009.png,0.7374628439,0.4990684390
test_0010.png,0.9459696110,0.5881423354
test_0011.png,0.6529614949,0.4629695415
test_0012.png,0.7964210632,0.5242553353
test_0013.png,0.8357699814,0.5410651565
test_0014.png,0.7693321441,0.5126829743
test_0015.png,0.8957149165,0.5666735768
test_0016.png,0.8841367727,0.5617274046
test_0017.png,0.8962075768,0.5668840408
test_0018.png,0.9300422161,0.5813381672
test_0019.png,0.8051919784,0.5280022621
test_0020.png,0.3526094482,0.3346594274
test_0021.png,0.7393997898,0.4998959005
test_0022.png,0.7352106428,0.4981063008
test_0023.png,0.7887328565,0.5209709406
test_0024.png,0.8200227124,0.5343379378
test_0025.png,0.5224774061,0.4072268605
test_0026.png,0.7266109937,0.4944325387
test_0027.png,0.5408700555,0.4150841832
test_0028.png,0.6632476438,0.4673637748
test_0029.png,0.7112089776,0.4878528118
test_0030.png,0.8252663141,0.5365779996
test_0031.png,0.5744948503,0.4294486642
test_0032.png,0.8319055772,0.5394142866
test_0033.png,0.7374732384,0.4990728796
test_0034.png,0.4710934021,0.3852756619
test_0035.png,0.5869524855,0.4347705543
test_0036.png,0.7063273018,0.4857673645
test_0037.png,0.7456159455,0.5025514364
test_0038.png,0.9139331606,0.5744563937
test_0039.png,0.7334664497,0.4973611832
test_0040.png,0.7981674887,0.5250014067
test_0041.png,0.7080710764,0.4865123034
test_0042.png,0.8356917083,0.5410317183
test_0043.png,0.6726372097,0.4713749886
test_0044.png,0.5196027872,0.4059988260
test_0045.png,0.2973957119,0.3110721707
test_0046.png,0.3772012315,0.3451650143
test_0047.png,1.0000000000,0.6565645933
test_0048.png,0.8346616005,0.5405916572
test_0049.png,1.0000000000,0.6472208500
test_0050.png,0.8367202813,0.5414711237
test_0051.png,0.8025795257,0.5268862247
test_0052.png,0.8961182812,0.5668458939
test_0053.png,0.6478684399,0.4607937932
test_0054.png,0.6306947443,0.4534572065
test_0055.png,1.0000000000,0.6705961227
test_0056.png,0.5792563956,0.4314827919
test_0057.png,0.9229201989,0.5782956481
test_0058.png,0.5969067759,0.4390230179
test_0059.png,1.0000000000,0.6379865408
test_0060.png,0.7330068567,0.4971648455
test_0061.png,0.3002210089,0.3122791350
test_0062.png,0.6641559469,0.4677518010
test_0063.png,0.0517748918,0.2061431855
test_0064.png,0.0600219979,0.2096663415
test_0065.png,0.0292640435,0.1965265721
test_0066.png,0.0000000000,0.1716687083
test_0067.png,0.0000000000,0.1833825558
test_0068.png,0.0000000000,0.1776032150
test_0069.png,0.1269501584,0.2382579893
test_0070.png,0.0373385581,0.1999759972
test_0071.png,0.0135346685,0.1898069978
test_0072.png,0.0780736849,0.2173780054
test_0073.png,0.0533786188,0.2068282962
test_0074.png,0.0216140664,0.1932585090
test_0075.png,0.0360827697,0.1994395256
test_0076.png,0.0000000000,0.1710970402
test_0077.png,0.0000000000,0.1777993292
test_0078.png,0.0781088101,0.2173930109
test_0079.png,0.0673513830,0.2127974480
test_0080.png,0.0196208225,0.1924069971
test_0081.png,0.1085750541,0.2304081619
test_0082.png,0.0839877008,0.2199044675
