image,anomaly_score,raw_score
test_0000.png,63.37080765,68.71583557
test_0001.png,79.42644501,83.37841034
test_0002.png,64.30424500,69.56828308
test_0003.png,72.17461395,76.75578308
test_0004.png,69.91095734,74.68852997
test_0005.png,62.95240402,68.33373260
test_0006.png,69.70623016,74.50156403
test_0007.png,61.79115295,67.27323914
test_0008.png,68.09804535,73.03291321
test_0009.png,64.35047150,69.61049652
test_0010.png,53.86057281,60.03075027
test_0011.png,50.67192459,57.11876678
test_0012.png,69.55242157,74.36109924
test_0013.png,58.46458435,64.23529816
test_0014.png,71.46951294,76.11185455
test_0015.png,73.33759308,77.81785583
test_0016.png,71.95135498,76.55189514
test_0017.png,61.77259827,67.25629425
test_0018.png,64.37519836,69.63307953
test_0019.png,64.93258667,70.14210510
test_0020.png,41.53033447,48.77034760
test_0021.png,64.12537384,69.40493011
test_0022.png,60.30994415,65.92054749
test_0023.png,61.28348160,66.80961609
test_0024.png,58.83291245,64.57167053
test_0025.png,58.81339645,64.55384827
test_0026.png,51.26353073,57.65903854
test_0027.png,50.39105225,56.86226654
test_0028.png,55.99504852,61.98003006
test_0029.png,57.67299271,63.51239014
test_0030.png,71.11538696,75.78845978
test_0031.png,50.53920746,56.99756622
test_0032.png,59.99993515,65.63743591
test_0033.png,64.25466156,69.52300262
test_0034.png,45.64603806,52.52894974
test_0035.png,58.68778992,64.43914032
test_0036.png,70.19171143,74.94492340
test_0037.png,68.13603973,73.06761169
test_0038.png,63.19620514,68.55638123
test_0039.png,63.83015823,69.13533020
test_0040.png,67.01316071,72.04216003
test_0041.png,79.94266510,83.84983826
test_0042.png,48.07570648,54.74781036
test_0043.png,36.99726868,44.63059235
test_0044.png,43.51381683,50.58173370
test_0045.png,35.20496750,42.99379730
test_0046.png,32.59282684,40.60829926
test_0047.png,69.67494965,74.47299957
test_0048.png,55.36801529,61.40739822
test_0049.png,115.01045990,115.87498474
test_0050.png,57.64422989,63.48612213
test_0051.png,48.50476456,55.13963699
test_0052.png,55.97994614,61.96623611
test_0053.png,48.91599274,55.51518631
test_0054.png,42.72220993,49.85880661
test_0055.png,103.24839020,105.13344574
test_0056.png,69.60250854,74.40684509
test_0057.png,43.19064331,50.28659821
test_0058.png,45.57917404,52.46788406
test_0059.png,125.60099030,125.54663086
test_0060.png,76.33831024,80.55821228
test_0061.png,28.98755074,37.31583405
test_0062.png,45.20258713,52.12397385
test_0063.png,7.67424488,17.85177231
test_0064.png,18.67865562,27.90138817
test_0065.png,11.92230129,21.73124695
test_0066.png,4.48768139,14.94169044
test_0067.png,6.46586943,16.74824142
test_0068.png,3.34885311,13.90167236
test_0069.png,13.75272751,23.40285683
test_0070.png,6.74946308,17.00722885
test_0071.png,2.36723709,13.00522614
test_0072.png,8.85840702,18.93319130
test_0073.png,11.41352558,21.26661491
test_0074.png,4.75918102,15.18963337
test_0075.png,6.90968895,17.15355301
test_0076.png,2.99302673,13.57671928
test_0077.png,3.79853415,14.31233692
test_0078.png,15.21645927,24.73958778
test_0079.png,13.16996002,22.87065315
test_0080.png,12.86532307,22.59244728
test_0081.png,13.77854252,23.42643166
test_0082.png,11.57463741,21.41374779
