filename,anomaly_score,raw_patch_distance
test_0000.png,65.45611572,0.42603397
test_0001.png,56.87387848,0.38353643
test_0002.png,61.55813980,0.41118339
test_0003.png,161.60536194,0.53342384
test_0004.png,65.77934265,0.41586629
test_0005.png,54.82733536,0.34286177
test_0006.png,74.74042511,0.42741564
test_0007.png,68.11854553,0.42317000
test_0008.png,76.75560760,0.44167832
test_0009.png,49.06910324,0.32714415
test_0010.png,69.25824738,0.43110925
test_0011.png,47.96500397,0.29677314
test_0012.png,58.90715408,0.39023685
test_0013.png,56.19635391,0.35937306
test_0014.png,69.74541473,0.40831253
test_0015.png,59.91760635,0.38506210
test_0016.png,65.39109802,0.38267165
test_0017.png,58.42391586,0.39895889
test_0018.png,77.99467468,0.46186936
test_0019.png,56.32777023,0.37055406
test_0020.png,25.68483162,0.17137715
test_0021.png,52.30428314,0.34651470
test_0022.png,48.10984039,0.31499079
test_0023.png,68.86241913,0.42766550
test_0024.png,83.24680328,0.48587018
test_0025.png,43.18943405,0.27407551
test_0026.png,51.79870605,0.34230864
test_0027.png,37.39355850,0.25624838
test_0028.png,43.53905106,0.28166428
test_0029.png,66.34076691,0.40761220
test_0030.png,58.62598801,0.39505279
test_0031.png,46.11639786,0.30689982
test_0032.png,67.16361237,0.40213534
test_0033.png,60.22433853,0.38803002
test_0034.png,34.75862503,0.23927116
test_0035.png,46.93761063,0.32021162
test_0036.png,49.02586365,0.33140954
test_0037.png,59.70476151,0.38300940
test_0038.png,80.69838715,0.46967793
test_0039.png,68.99185181,0.41418707
test_0040.png,65.40753937,0.38235712
test_0041.png,52.72219086,0.32434347
test_0042.png,56.79217148,0.34676275
test_0043.png,44.70596695,0.25048533
test_0044.png,41.57963562,0.23542733
test_0045.png,17.83721161,0.13994421
test_0046.png,26.00711632,0.16286694
test_0047.png,61.73360825,0.39618146
test_0048.png,50.84873962,0.29584745
test_0049.png,1167.79406738,0.55714768
test_0050.png,51.59715271,0.31050351
test_0051.png,45.53528976,0.35402063
test_0052.png,48.74092865,0.37272501
test_0053.png,36.81499481,0.23311290
test_0054.png,36.38513565,0.20584692
test_0055.png,595.46575928,0.55395222
test_0056.png,142.50758362,0.29059684
test_0057.png,52.49723816,0.44065934
test_0058.png,41.85724640,0.21393685
test_0059.png,1127.83020020,0.59670252
test_0060.png,57.35116959,0.34928977
test_0061.png,22.38191795,0.13806224
test_0062.png,42.51733017,0.23074549
test_0063.png,8.85079193,0.05766535
test_0064.png,6.10951996,0.07248895
test_0065.png,4.95061731,0.05563130
test_0066.png,10.32191849,0.04030396
test_0067.png,3.50780129,0.04938124
test_0068.png,2.75213766,0.04482000
test_0069.png,7.06255341,0.06667440
test_0070.png,6.53251982,0.05427741
test_0071.png,1.88159323,0.04485025
test_0072.png,7.34382296,0.06376335
test_0073.png,7.98778057,0.05706849
test_0074.png,6.92675781,0.04870092
test_0075.png,6.51534891,0.06505795
test_0076.png,3.78515840,0.04048613
test_0077.png,4.05639267,0.04535633
test_0078.png,8.21886539,0.07081929
test_0079.png,21.34475136,0.06862977
test_0080.png,24.97837448,0.05752127
test_0081.png,3.77332163,0.04874021
test_0082.png,12.67406559,0.06279110
