image,anomaly_score
test_0000.png,0.65536469
test_0001.png,0.64418912
test_0002.png,0.67410374
test_0003.png,0.67777508
test_0004.png,0.67512959
test_0005.png,0.60620469
test_0006.png,0.67746395
test_0007.png,0.63841552
test_0008.png,0.65953165
test_0009.png,0.64697295
test_0010.png,0.66356331
test_0011.png,0.58360118
test_0012.png,0.65123230
test_0013.png,0.62739891
test_0014.png,0.63726473
test_0015.png,0.65888971
test_0016.png,0.64506477
test_0017.png,0.66185975
test_0018.png,0.65793872
test_0019.png,0.62937349
test_0020.png,0.47307688
test_0021.png,0.58293658
test_0022.png,0.64122206
test_0023.png,0.62800115
test_0024.png,0.65818518
test_0025.png,0.54220688
test_0026.png,0.64080852
test_0027.png,0.54203719
test_0028.png,0.55583936
test_0029.png,0.62372512
test_0030.png,0.63800395
test_0031.png,0.54748684
test_0032.png,0.66917092
test_0033.png,0.59358442
test_0034.png,0.50472420
test_0035.png,0.53904974
test_0036.png,0.63549614
test_0037.png,0.64868784
test_0038.png,0.68439305
test_0039.png,0.60715991
test_0040.png,0.64884311
test_0041.png,0.62235475
test_0042.png,0.60003376
test_0043.png,0.53556818
test_0044.png,0.51585120
test_0045.png,0.44362885
test_0046.png,0.45287544
test_0047.png,0.67623574
test_0048.png,0.64642602
test_0049.png,0.74198496
test_0050.png,0.62853920
test_0051.png,0.62673110
test_0052.png,0.65842354
test_0053.png,0.54691654
test_0054.png,0.52051848
test_0055.png,0.77223581
test_0056.png,0.64870977
test_0057.png,0.66005653
test_0058.png,0.51781130
test_0059.png,0.69209224
test_0060.png,0.65890056
test_0061.png,0.41617998
test_0062.png,0.52899945
test_0063.png,0.27449307
test_0064.png,0.32015774
test_0065.png,0.29139185
test_0066.png,0.26037431
test_0067.png,0.26032615
test_0068.png,0.24126127
test_0069.png,0.32309017
test_0070.png,0.27209422
test_0071.png,0.27051911
test_0072.png,0.32747874
test_0073.png,0.27838981
test_0074.png,0.25875860
test_0075.png,0.26397282
test_0076.png,0.23513542
test_0077.png,0.25585237
test_0078.png,0.29280362
test_0079.png,0.29067919
test_0080.png,0.28034493
test_0081.png,0.33605629
test_0082.png,0.29146469
