filename,anomaly_score
test_0000.png,0.60614723
test_0001.png,0.52209419
test_0002.png,0.38484684
test_0003.png,0.48575124
test_0004.png,0.53419471
test_0005.png,0.37706491
test_0006.png,0.39503759
test_0007.png,0.50771374
test_0008.png,0.62178659
test_0009.png,0.43277475
test_0010.png,0.47775480
test_0011.png,0.45016408
test_0012.png,0.45557997
test_0013.png,0.45642614
test_0014.png,0.40570194
test_0015.png,0.49532080
test_0016.png,0.45058033
test_0017.png,0.33612496
test_0018.png,0.42713499
test_0019.png,0.59948105
test_0020.png,0.51797956
test_0021.png,0.57998896
test_0022.png,0.62086332
test_0023.png,0.39425567
test_0024.png,0.49930725
test_0025.png,0.60188097
test_0026.png,0.44912282
test_0027.png,0.41151658
test_0028.png,0.57751399
test_0029.png,0.51560092
test_0030.png,0.54039729
test_0031.png,0.60931504
test_0032.png,0.50450957
test_0033.png,0.46519113
test_0034.png,0.62152171
test_0035.png,0.43104020
test_0036.png,0.29180166
test_0037.png,0.33562356
test_0038.png,0.31453431
test_0039.png,0.32450196
test_0040.png,0.32990628
test_0041.png,0.34395114
test_0042.png,0.37058231
test_0043.png,0.34480596
test_0044.png,0.34324333
test_0045.png,0.36098683
test_0046.png,0.32122198
test_0047.png,0.29837734
test_0048.png,0.35576659
test_0049.png,0.31853655
test_0050.png,0.34544370
test_0051.png,0.34858009
test_0052.png,0.32771885
test_0053.png,0.30746379
test_0054.png,0.30524674
test_0055.png,0.34466735
test_0056.png,0.30696413
test_0057.png,0.31334451
test_0058.png,0.35625386
test_0059.png,0.32214534
test_0060.png,0.30868760
test_0061.png,0.32065612
test_0062.png,0.35202479
test_0063.png,0.32107863
test_0064.png,0.52736676
test_0065.png,0.35109308
test_0066.png,0.46620199
test_0067.png,0.55996442
test_0068.png,0.55335534
test_0069.png,0.50884646
test_0070.png,0.56389540
test_0071.png,0.62605810
test_0072.png,0.62068379
test_0073.png,0.53205949
test_0074.png,0.55893165
test_0075.png,0.53224403
test_0076.png,0.48907647
test_0077.png,0.51480401
test_0078.png,0.55721247
test_0079.png,0.51051718
test_0080.png,0.42275116
test_0081.png,0.31264582
test_0082.png,0.34293494
test_0083.png,0.49195060
test_0084.png,0.50637215
test_0085.png,0.56913298
test_0086.png,0.60238647
test_0087.png,0.56653368
test_0088.png,0.56669647
test_0089.png,0.58010620
test_0090.png,0.46382236
test_0091.png,0.56428856
test_0092.png,0.45296428
test_0093.png,0.48434553
test_0094.png,0.48302013
test_0095.png,0.35182908
test_0096.png,0.48597217
test_0097.png,0.52554774
test_0098.png,0.56379575
test_0099.png,0.37509403
test_0100.png,0.52436525
test_0101.png,0.46526748
test_0102.png,0.50323361
test_0103.png,0.55992019
test_0104.png,0.51698166
test_0105.png,0.52356714
test_0106.png,0.61683571
test_0107.png,0.36084887
test_0108.png,0.55520314
test_0109.png,0.51423591
test_0110.png,0.56001729
test_0111.png,0.54551524
test_0112.png,0.34607491
test_0113.png,0.37467614
test_0114.png,0.48189732
test_0115.png,0.55204296
test_0116.png,0.33043239
