filename,anomaly_score,raw_score
test_0000.png,1.0000000000,0.6025296450
test_0001.png,0.7807438357,0.5218187571
test_0002.png,0.2618765376,0.3771924973
test_0003.png,0.5974255186,0.4707216024
test_0004.png,0.7587580746,0.5156905651
test_0005.png,0.1719800633,0.3521352410
test_0006.png,0.2928426227,0.3858238161
test_0007.png,0.7393933522,0.5102929473
test_0008.png,1.0000000000,0.6122499704
test_0009.png,0.4597174877,0.4323376119
test_0010.png,0.5946578924,0.4699501693
test_0011.png,0.4557178215,0.4312227666
test_0012.png,0.4179366508,0.4206918478
test_0013.png,0.4151058349,0.4199028015
test_0014.png,0.3071435034,0.3898099661
test_0015.png,0.5360467667,0.4536132216
test_0016.png,0.3667812757,0.4064330757
test_0017.png,0.0967334570,0.3311614096
test_0018.png,0.3237238132,0.3944314718
test_0019.png,0.9537884167,0.5700522661
test_0020.png,0.6471784231,0.4845894575
test_0021.png,0.9286636960,0.5630491376
test_0022.png,1.0000000000,0.5840522647
test_0023.png,0.2884586858,0.3846018612
test_0024.png,0.5735893986,0.4640776515
test_0025.png,0.9672654782,0.5738087893
test_0026.png,0.5582913813,0.4598135650
test_0027.png,0.3515373599,0.4021840692
test_0028.png,0.8562813716,0.5428736806
test_0029.png,0.7456535225,0.5120378733
test_0030.png,0.8246648916,0.5340610743
test_0031.png,0.9728984555,0.5753788948
test_0032.png,0.7040979663,0.5004549026
test_0033.png,0.6184324264,0.4765769541
test_0034.png,1.0000000000,0.6047973633
test_0035.png,0.5265383644,0.4509629011
test_0036.png,0.0000000000,0.2861863673
test_0037.png,0.0898193635,0.3292342126
test_0038.png,0.0519057188,0.3186663687
test_0039.png,0.0838400721,0.3275675774
test_0040.png,0.0801193604,0.3265304863
test_0041.png,0.1763225153,0.3533456326
test_0042.png,0.2561728862,0.3756026924
test_0043.png,0.1711156145,0.3518942893
test_0044.png,0.1350667629,0.3418462276
test_0045.png,0.1994706045,0.3597978055
test_0046.png,0.0548894304,0.3194980323
test_0047.png,0.0000000000,0.2904077172
test_0048.png,0.1934553880,0.3581211567
test_0049.png,0.0475967329,0.3174653053
test_0050.png,0.1734348179,0.3525407314
test_0051.png,0.1417152670,0.3436993957
test_0052.png,0.0485770831,0.3177385628
test_0053.png,0.0000000000,0.2989942133
test_0054.png,0.0000000000,0.3037976921
test_0055.png,0.0936843103,0.3303115070
test_0056.png,0.0003594439,0.3042986393
test_0057.png,0.0174065668,0.3090502620
test_0058.png,0.1727185603,0.3523410857
test_0059.png,0.0174608822,0.3090654016
test_0060.png,0.0000000000,0.2917755246
test_0061.png,0.0193998777,0.3096058667
test_0062.png,0.1152847315,0.3363322914
test_0063.png,0.0000000000,0.3023404181
test_0064.png,0.7420513852,0.5110338330
test_0065.png,0.1536862524,0.3470361233
test_0066.png,0.5010430588,0.4438564777
test_0067.png,0.7651993676,0.5174859762
test_0068.png,0.8199578423,0.5327490568
test_0069.png,0.5674951682,0.4623789787
test_0070.png,0.8283228412,0.5350806713
test_0071.png,0.9653052056,0.5732623935
test_0072.png,0.9989961488,0.5826532245
test_0073.png,0.7026483440,0.5000508428
test_0074.png,0.7725167636,0.5195255876
test_0075.png,0.7230854747,0.5057473779
test_0076.png,0.4825013002,0.4386882484
test_0077.png,0.6598102814,0.4881103933
test_0078.png,0.7978557521,0.5265884399
test_0079.png,0.6110120663,0.4745086432
test_0080.png,0.3295598317,0.3960581720
test_0081.png,0.0346630391,0.3138602376
test_0082.png,0.1079830527,0.3342970610
test_0083.png,0.6039660334,0.4725446701
test_0084.png,0.6436317773,0.4836008847
test_0085.png,0.8803415960,0.5495800972
test_0086.png,1.0000000000,0.5956171155
test_0087.png,0.9402677317,0.5662835836
test_0088.png,0.9119360503,0.5583865643
test_0089.png,0.8738549689,0.5477720499
test_0090.png,0.4647755556,0.4337474704
test_0091.png,0.8882575306,0.5517865419
test_0092.png,0.3747336701,0.4086496830
test_0093.png,0.6313018612,0.4801641107
test_0094.png,0.5516976203,0.4579756558
test_0095.png,0.1567662990,0.3478946388
test_0096.png,0.4860714684,0.4396833777
test_0097.png,0.7230794872,0.5057457089
test_0098.png,0.8760881015,0.5483945012
test_0099.png,0.1897006758,0.3570745885
test_0100.png,0.7483690786,0.5127947927
test_0101.png,0.4565896478,0.4314657748
test_0102.png,0.7233395168,0.5058181882
test_0103.png,0.9208850467,0.5608809590
test_0104.png,0.6921984035,0.4971380830
test_0105.png,0.6731327366,0.4918238223
test_0106.png,1.0000000000,0.5974181294
test_0107.png,0.1931150614,0.3580262959
test_0108.png,0.7896515609,0.5243016481
test_0109.png,0.7164910722,0.5039092898
test_0110.png,0.7690303138,0.5185537934
test_0111.png,0.7930240339,0.5252416730
test_0112.png,0.1212288461,0.3379891217
test_0113.png,0.2440094446,0.3722123206
test_0114.png,0.5519430018,0.4580440521
test_0115.png,0.8006078748,0.5273555517
test_0116.png,0.0805007443,0.3266367912
